,sentence_normal,sentence_leicht,score
1854,Das diesjährige Gastgeberland Schleswig-Holstein hatte zu einer gemeinsamen Sitzung bei der Brunsbüttel Ports GmbH eingeladen.,"['Die Regierungen von Hamburg und Schleswig-Holstein haben sich getroffen.', 'Die Sitzung war in Brunsbüttel.', 'Brunsbüttel ist eine Stadt in Schleswig-Holstein.']","[0.6556475162506104, 0.6287967562675476, 0.6318585872650146]"
1855,"Deshalb fordere man den Bund auf, Hamburg und Schleswig-Holstein frühzeitig an das vom Fernleitungsnetzbetreiber Gasunie entstehende europäische Wasserstofffernleitungsnetz „ HyPer Link III “ anzubinden.","['Die Bundes-Regierung soll Hamburg und Schleswig-Holstein helfen: Die Städte sollen früh an das Wasser-Stoff-Netz angeschlossen werden. Das Netz heißt: HyPer Link 3. Der Name ist englisch.', 'Es gibt das Netz in Europa.']","[0.8493948578834534, 0.24312420189380646]"
1856,"Die Zusammenarbeit der Länder sei von Vertrauen und gegenseitiger Unterstützung geprägt, betonten beide Ministerpräsidenten.","['Sie haben eine Sitzung gemacht. Das heißt: Die Minister und Ministerinnen haben zusammen geredet. Und die Chefs von den beiden Bundes-Ländern.', 'Beide Regierungs-Chefs sagen: Wir arbeiten zusammen.']","[0.5397552847862244, 0.6506722569465637]"
1857,Dieser Bedeutung wird das aktuelle Engagement des Bundes nicht gerecht.,"['Der Text ist nicht durch Menschen mit Behinderungen geprüft worden.', 'Sie können hier dazu mehr lesen.']","[0.19260446727275848, 0.050948575139045715]"
1858,Rückfragen der Medien Senatskanzlei Hamburg Pressestelle E-Mail: pressestelle @sk. hamburg. de Staatskanzlei Schleswig-Holstein Pressestelle E-Mail: regierungssprecher @stk. landsh. de,['Hamburgs Chef ist Bürgermeister Tschentscher.'],[0.40902620553970337]
1859,Teil dieser vertrauensvollen Zusammenarbeit sei der regelmäßige gegenseitige Besuch der Kabinette.,['Beide Chefs waren zufrieden: Mit der Sitzung.'],[0.32911229133605957]
1860,"Zur Digitalisierung, die ebenfalls auf der Tagesordnung stand, sagten Günther und Tschentscher: „ Hamburg und Schleswig-Holstein werden im Bereich der Verwaltungsdigitalisierung und bei der Umsetzung des OZG weiter eng zusammenarbeiten “, Wichtige Verwaltungsleistungen seien im Norden für die Nachnutzung in der gesamten Bundesrepublik entwickelt worden.","['Hamburg und Schleswig-Holstein haben auch über andere Themen gesprochen. Zum Beispiel: Die Digitalisierung Digitalisierung heißt: Man macht etwas mit Computer und Internet.', 'Info Info: Ein Computer hat diesen Text in Leichte Sprache übertragen.']","[0.6847819089889526, 0.1295289695262909]"
1861,"“ Weiteres Thema der Kabinettssitzung war die Zusammenarbeit bei Infrastrukturprojekten wie dem Ausbau des Schienennetzes, der A 23 oder des Nord-Ostsee-Kanals.",['Über die Zusammen-Arbeit bei Verkehrs-Projekten: Wenn Bahn-Gleise gebaut werden. Oder die Autobahn A 23 weiter gebaut wird Oder der Nord-Ost-See-Kanal.'],[0.7850656509399414]
1862,"„ Der Norden ist die Zukunftsregion für Produktion, Nutzung und die Verteilung von grünem Wasserstoff in Deutschland “, so Bürgermeister Tschentscher.",['Die Industrie in Nord-Deutschland braucht viel Wasser-Stoff.'],[0.4694487154483795]
1863,"„ Wir haben diesen Ort ganz bewusst ausgewählt, um deutlich zu machen, dass wir bei der Energiewende an einem Strang ziehen “, betonte Günther.","['Die Energie-Wende ist ein neues System für die Energie-Versorgung.', 'Die Energie soll umweltfreundlich sein.', 'Das ist wichtig für die Energie-Wende.']","[0.43515074253082275, 0.4185076355934143, 0.5046091675758362]"
1864,"„ Wir werden uns fachlich und politisch gemeinsam dafür beim Bund stark machen “, sagte der schleswig-holsteinische Regierungschef.","['Schleswig-Holsteins Chef ist Minister-Präsident Günther.', 'Das haben die Chefs von Hamburg und Schleswig-Holstein besprochen: Sie sind bereit für die Energie-Wende.']","[0.47073256969451904, 0.5657735466957092]"
1865,Am Londoner Bahnhof Liverpool Street steht das Pendant zum Hamburger Denkmal: das von König Charles eingeweihte Denkmal „ Kindertransport – Die Ankunft “.,['Kinder wurden nach England gebracht.'],[0.2946249842643738]
1866,"Am Nachmittag sprechen Bürgermeister Tschentscher, Bundespräsident Steinmeier und der König während einer Hafenrundfahrt mit Vertreterinnen und Vertretern des Hafens über die Dekarbonisierung der maritimen Wirtschaft, die Förderung der regenerativen Energien und der Wasserstofftechnologie sowie die umwelt- und klimagerechte Transformation der Industrie.","['Sie sprechen über: Mehr Umwelt-Schutz bei Schiffen, Umwelt-freundliche Energie.']",[0.46982109546661377]
1867,Danach trägt sich das Königspaar in das Goldene Buch der Stadt ein.,"['Damit sie in Sicherheit sind.', 'Sie schreiben in das Goldene Buch.', 'Der König und die Königin fliegen zurück: Nach London.']","[0.041672784835100174, 0.49255579710006714, 0.516107439994812]"
1868,"Dass das Königspaar neben der Hauptstadt auch Hamburg besucht, ist eine große Ehre für die Hansestadt und ein starker Impuls für unsere wirtschaftlichen, wissenschaftlichen und kulturellen Beziehungen zum Vereinigten Königreich.","['Der Bürgermeister von Hamburg hat den König und die Königin eingeladen.', 'Sie fahren von Berlin nach Hamburg: Mit dem Zug.', 'Viele Menschen sind neugierig: Ein echter König ist in Hamburg.', 'Das ist eine Art Gäste-Buch von der Stadt Hamburg.']","[0.670601487159729, 0.38884782791137695, 0.5134113430976868, 0.3304993212223053]"
1869,Der Staatsbesuch endet mit einem Empfang auf Einladung der Britischen Botschaft.,"['Empfang von der Botschaft von Groß-Britannien Die Botschaft von Groß-Britannien hat einen Empfang organisiert.', 'Ein Empfang ist eine Feier.', 'Nach dem Empfang geht der Besuch zu Ende.']","[0.7683054208755493, 0.3098295331001282, 0.5041261315345764]"
1870,Der in Hamburg geborene Kinderbuchautor und Illustrator lebt in London und ist insbesondere für seine Illustration im Kinderbuch „ Der Grüffelo “ bekannt.,"['Er schreibt Bücher für Kinder. Und er zeichnet die Bilder. Für die Bücher.', 'Er wurde in Hamburg geboren.', 'Er lebt jetzt in London.', 'Er ist besonders bekannt für seine Bilder im Buch: Der Grüffelo.', 'Info Info: Ein Computer hat diesen Text in Leichte Sprache übertragen.']","[0.5478363037109375, 0.4020048677921295, 0.4345574676990509, 0.5535484552383423, 0.09866289049386978]"
1871,Die ehemalige Hauptkirche St. Nikolai wurde während britischer und amerikanischer Luftangriffe im Jahr 1943 zerstört.,"['Im Krieg wurde die Kirche zerstört.', 'Britische und Amerikanische Flugzeuge haben Bomben geworfen: Auf die Kirche.']","[0.6809194087982178, 0.5693128108978271]"
1872,Dort begegnen sie unter anderem den Illustrator Axel Scheffler.,"['Dort treffen sie Axel Scheffler.', 'Sie können hier dazu mehr lesen.']","[0.7160682678222656, 0.05924909934401512]"
1873,"Gegen 13: 00 Uhr haben die Hamburgerinnen und Hamburger die Gelegenheit, die Ankunft des Königspaares auf dem Rathausmarkt mitzuerleben.","['Sie kommen auch ins Rathaus von Hamburg.', 'Rathaus Hamburg Danach fahren der König und die Königin zum Rathaus.', 'Die Menschen können das Paar auf dem Rathaus-Markt sehen: Am Freitag, 31. März um 13 Uhr mittags.', 'Alle Menschen können dort hinkommen.', 'Deshalb begrüßen der König und die Königin die Menschen im Hamburg: Auf dem Rathaus-Markt.', 'Danach gehen sie ins Rathaus.', 'Mit dabei sind wichtige Mitarbeiter vom Hafen.']","[0.5557412505149841, 0.725391685962677, 0.6315744519233704, 0.09285375475883484, 0.7967796325683594, 0.36271753907203674, 0.26397234201431274]"
1874,Gemeinsam besuchen sie das Denkmal „ Kindertransport – Der letzte Abschied “.,"['Das sind wichtige Themen für den Besuch: Der Klima-Schutz, Das Gedenken an die Opfer vom Zweiten Welt-Krieg.', 'Gemeinsam gehen sie zu einem Denkmal. Das Denkmal heißt: Kinder-Transport – Der letzte Abschied Das Denkmal soll an die Nazi-Zeit erinnern.', 'Der Text ist nicht durch Menschen mit Behinderungen geprüft worden.']","[0.349185585975647, 0.82039475440979, 0.03033560700714588]"
1875,Im Anschluss folgt eine Kranzniederlegung am Mahnmal St. Nikolai.,"['Mahnmal St. Nikolai Danach gehen sie zum Mahnmal St. Nikolai.', 'St. Nikolai war früher eine Kirche.', 'Heute steht nur noch der Kirch-Turm.']","[0.8358663320541382, 0.5567235946655273, 0.2627772390842438]"
1876,"Kurzprogramm Hamburg Freitag, 31. März 2023 Mittags, Hamburg Besuch des Denkmals „ Kindertransport – Der letzte Abschied “ Anschließend, Mahnmal St. Nikolai Kranzniederlegung am Mahnmal Anschließend, Rathausmarkt Begegnung mit Bürgerinnen und Bürgern am Hamburger Rathaus und Eintrag von König Charles III. und Königin-Gemahlin Camilla ins Goldene Buch im Hamburger Rathaus Anschließend, Kreuzfahrtterminal Altona Bootsfahrt des Bundespräsidenten und von König Charles III. Nachmittags, Rudolf-Roß-Grundschule Besuch von Elke Büdenbender und Königin-Gemahlin Camilla in der Grundschule Anschließend, Schuppen 52 Empfang, gegeben von der Britischen Botschaft Hinweise für die Redaktionen Die Akkreditierung für die Termine des Staatsbesuchs ist abgeschlossen.","['Am 31. März sind der König und die Königin von Groß-Britannien in Hamburg.', 'Das ist das Programm von dem Besuch Am Freitag kommen der König und die Königin.', 'Boots-Fahrt mit König Charles Am Nachmittag fahren Hamburgs Bürgermeister und der König mit einem Boot.', 'Besuch in der Rudolf-Roß-Grund-Schule Die Königin fährt nicht mit dem Schiff.']","[0.6561529040336609, 0.454719603061676, 0.6568086743354797, 0.2940215468406677]"
1877,"Wir freuen uns auch, Bundespräsident Steinmeier und Elke Büdenbender wieder in Hamburg zu begrüßen.","['Auch Bundes-Präsident Steinmeier ist dabei. Und seine Frau.', 'Der Bundes-Präsident fährt auch mit.']","[0.6475801467895508, 0.31485646963119507]"
1878,"Währenddessen besucht die Königin-Gemahlin gemeinsam mit Elke Büdenbender und Eva Maria Tschentscher die Rudolf-Roß-Grundschule, die bilingual auf Deutsch und Englisch unterrichtet.","['Sie besucht eine Grund-Schule.', 'Die Frau vom Bundes-Präsidenten auch. Die Schule heißt: Rudolf-Roß-Grund-Schule.', 'Die Schule unterrichtet auf Deutsch. Und auf Englisch.']","[0.3021858036518097, 0.5447916984558105, 0.5194111466407776]"
1879,“ Der Erste Bürgermeister und Eva Maria Tschentscher begrüßen König Charles III. und Königin-Gemahlin Camilla sowie Bundespräsident Frank-Walter Steinmeier und Elke Büdenbender am Freitagmittag bei ihrer Ankunft im Bahnhof Dammtor.,"['Dammtor Bahn-Hof und Denkmal Der Erste Bürgermeister Peter Tschentscher und seine Frau begrüßen sie: Am Bahnhof Dammtor.', 'Die Frau vom Bürgermeister geht mit.']","[0.5860337615013123, 0.29070281982421875]"
1880,"Allen, die Unterstützung benötigen, soll in diesen schwierigen Zeiten geholfen werden.",['Alle Menschen sollen Hilfe bekommen.'],[0.68294757604599]
1881,"Auf der Flucht vor Krieg und Gewalt sind bisher 30. 000 Männer, Frauen und Kinder aus der Ukraine nach Hamburg gekommen.",['Sehr viele Menschen fliehen aus der Ukraine: Nach Hamburg.'],[0.6505152583122253]
1882,"Das ist unser Anspruch in Hamburg, und dafür brauchen wir einen starken, soliden Haushalt, so wie er heute zur Beschlussfassung vorliegt.","['Die Stadt Hamburg braucht Geld für viele Sachen.', 'Die Bürgerschaft und der Senat entscheiden: Dafür gibt die Stadt Hamburg Geld aus.', 'Die Bürgerschaft ist das Parlament von Hamburg.', 'Die Stadt gibt Geld aus.']","[0.6235300302505493, 0.6934487819671631, 0.411033570766449, 0.33225345611572266]"
1883,Das wichtigste Projekt für die Mobilität der Zukunft ist die Erweiterung des Schnellbahnnetzes.,['Damit die Menschen schneller ankommen.'],[0.22501105070114136]
1884,Den dadurch bedingten Investitionsrückstand haben wir Schritt für Schritt aufgearbeitet und wieder massiv aus dem Haushalt in die Hafeninfrastruktur investiert.,"['Der Senat gibt sehr viel Geld aus: Für den Hafen.', 'So kann der Hafen besser werden.']","[0.500480592250824, 0.41486597061157227]"
1885,Denn der Hafen ist – wie es sich mittlerweile bis in die Hauptstadt herumgesprochen hat – von zentraler Bedeutung für die Stärke und Unabhängigkeit Deutschlands als viertgrößte Volkswirtschaft der Welt.,"['Der Hafen ist ein wichtiger Teil von der Wirtschaft.', 'Der Hafen ist wichtig für Hamburg. Und für Deutschland.']","[0.5255109071731567, 0.6535720825195312]"
1886,"Die Instandsetzung von Hamburgs Straßen ist daher auf einem Rekordniveau, allein in diesem Jahr werden rund 180 Kilometer saniert.",['Die Stadt Hamburg repariert die Straßen.'],[0.5614149570465088]
1887,"Für die Debatte heute hat die Opposition vermutlich wieder die übliche Rhetorik vorbereitet: Es erwarten uns Texte wie „ der Haushalt sei auf Kante genäht “, „ unsolide “, „ ohne Risikovorsorge “ und so weiter und so fort.",['Der Text ist nicht durch Menschen mit Behinderungen geprüft worden.'],[0.1695690155029297]
1888,Für diese Hilfsbereitschaft danke ich den Hamburgerinnen und Hamburgern sehr herzlich.,"['Viele Menschen in Hamburg helfen den Flüchtlingen.', 'Der Bürgermeister von Hamburg sagt: Danke für die Hilfe.']","[0.6049648523330688, 0.6729987859725952]"
1889,Gleiches gilt für den Ausbau des Radwegenetzes.,['Damit die Züge besser sind.'],[0.39304453134536743]
1890,"Hinzu kommen 850 Millionen Euro für den Schulbau, weil gute Bildung gute Räume braucht.",['Die Schulen bekommen mehr Geld: Für mehr Lehrer. Für neue Schul-Gebäude.'],[0.6406091451644897]
1891,Im Bereich „ Lesen “ lagen die Hamburger Grundschülerinnen und -Schüler auf Platz 14. Jetzt haben sie sich auf Platz 3 vorgearbeitet.,['Sie können hier dazu mehr lesen.'],[0.0982556864619255]
1892,In keinem anderen Bundesland haben sich die Leistungen so stark verbessert wie in Hamburg.,"['Hamburg hat die besten Kitas: In ganz Deutschland.', 'In Hamburg kosten viele Sachen mehr Geld.', 'Viele Menschen in Hamburg haben deshalb weniger Geld. Aber niemand soll ohne Hilfe sein.']","[0.6339535117149353, 0.4822999835014343, 0.4351532459259033]"
1893,"Insgesamt werden so über 2 Milliarden Euro investiert in den Klimaschutz, die Modernisierung der Industrie und die Energiewende in Hamburg.","['Er hat erklärt: Dafür wird die Stadt Geld ausgeben. In diesem Jahr. Und im Jahr danach: Hamburg will umweltfreundlicher werden.', 'Hamburg gibt ganz viel Geld aus: Für den Klima-Schutz.']","[0.5853838920593262, 0.6428496241569519]"
1894,Keine andere Stadt in Deutschland investiert so viel in den Ausbau von U- und S-Bahnen.,['Viel Geld gibt es für die U-Bahn. Und für die S-Bahn.'],[0.5899510979652405]
1895,"Meine sehr geehrten Damen und Herren, in diesem Sinne bitte ich Sie im Namen des Senats, die Haushaltsberatungen in den kommenden Tagen zu einem guten Abschluss zu bringen.",['Bürgermeister Peter Tschentscher hat eine Rede gehalten.'],[0.2063937485218048]
1896,"Mit anderen Worten: In Hamburg wird über den Ausbau von Bus und Bahn nicht nur geredet, sondern wir handeln.","['Die Stadt Hamburg baut auch neue Straßen., Hamburg baut viele neue Rad-Wege. Und neue Fuß-Wege.', 'Hamburg baut viele neue Strecken.']","[0.6184102892875671, 0.6105363368988037]"
1897,"Mit anderen Worten: Trotz Pandemie, Ukraine-Krieg und Energiepreiskrise setzen wir die Projekte um, die für die Zukunft Hamburgs entscheidend sind.","['Der Bürgermeister von Hamburg sagt: Es gibt viele schlimme Dinge Zum Beispiel: Corona, Krieg in der Ukraine, Die hohen Strom-Preise. Aber Hamburg schafft das.']",[0.6325533390045166]
1898,Nehmen wir den Bereich der Digitalisierung.,['Info Info: Ein Computer hat diesen Text in Leichte Sprache übertragen.'],[0.1907515525817871]
1899,"Sehr geehrte Damen und Herren, die wirtschaftliche Kraft unserer Stadt ermöglicht es uns, das beste KITA-System Deutschlands anzubieten, mit dem allen Familien einen kostenlosen KITA-Platz für ihre Kinder erhalten.",['Dann können die Kitas gut arbeiten. Und die Eltern können gut arbeiten.'],[0.49238041043281555]
1900,"Sehr geehrte Frau Präsidentin, sehr geehrte Damen und Herren, der Haushalt, den wir heute beraten, ist ein starkes Fundament für die Arbeit von Senat und Bürgerschaft in den nächsten zwei Jahren.",['Der Bürgermeister ist der Chef von der Regierung.'],[0.2656748294830322]
1901,"Seit dem 24. Februar herrscht Krieg in Europa – ein Krieg, der großes Leid über die Menschen in der Ukraine bringt.","['Seit fast einem Jahr gibt es Krieg in Europa.', 'Das ist wegen dem Krieg.']","[0.6882380247116089, 0.33618736267089844]"
1902,"Und er ist für Hamburg von zentraler Bedeutung, deshalb werden wir seinen Ausbau und seine Erreichbarkeit sicherstellen, so wie es im Regierungsprogramm vereinbart ist.","['Der Senat ist die Regierung von Hamburg.', 'Für die Sicherheit der Menschen: In Hamburg. Und für wichtige Sachen: Damit Hamburg besser wird.']","[0.4769741892814636, 0.6515496969223022]"
1903,Wir leben in einer Zeit des Umbruchs und großer neuer Aufgaben.,['Das ist wichtig für die Zukunft.'],[0.2964671850204468]
1904,Über 2 Milliarden Euro stellen wir im kommenden Doppelhaushalt für die Hamburger Kitas bereit.,['Die Stadt Hamburg gibt den Kitas viel Geld.'],[0.6967154741287231]
1905,"Auf der beliebten Geschäftsstraße und Flaniermeile unweit des Mühlenkamps gab es in der Vergangenheit aufgrund verengter Platzverhältnisse und nicht zeitgemäßer Aufteilung des Straßenraums immer wieder Konflikte zwischen den Verkehrsteilnehmenden, besonders zwischen dem Fuß- und Radverkehr.",['Die Menschen gehen gerne dort spazieren. Aber es gab immer Probleme auf der Straße: Zwischen Fahrrad-Fahrern. Und Fuß-Gängern.'],[0.6243730783462524]
1906,"Der Radverkehr hat bei Tempo 30 Vorrang, eine Zusatzbeschilderung ermöglicht es dem Kfz-Verkehr die Fahrradstraße zu befahren.","['Die Straße gehört zu einer wichtigen Fahrrad-Route.', 'Die Gertig-Straße ist jetzt eine Fahrrad-Straße. Das heißt: Die Autos dürfen nur langsam fahren. Und: Die Fahrräder haben Vor-Fahrt. Vor den Autos.']","[0.4915022552013397, 0.7175363898277283]"
1907,"Der Zustand der Verkehrsflächen wurde deutlich verbessert und durch taktile Leitelemente ergänzt, die nun auch ein barrierefreies Begehen der Gertigstraße ermöglichen.","['Die Straße Gertig-Straße wurde um-gebaut.', 'Deshalb wurde die Straße um-gebaut.', 'Die Wege sind besser. Und barriere-frei.', 'Info Info: Ein Computer hat diesen Text in Leichte Sprache übertragen.', 'Der Text ist nicht durch Menschen mit Behinderungen geprüft worden.', 'Sie können hier dazu mehr lesen.']","[0.5162392854690552, 0.38623833656311035, 0.554295539855957, 0.20766498148441315, 0.24409490823745728, 0.042165882885456085]"
1908,"Durch den Umbau erhöhen sich für alle Verkehrsteilnehmenden, Anwohnenden, Gewerbetreibenden und Besucherinnen und Besucher der Gertigstraße die Verkehrssicherheit und die Aufenthaltsqualität gleichermaßen spürbar.",['Die Gertig-Straße ist eine beliebte Einkauf-Straße.'],[0.4024674892425537]
1909,Durch die Aufhebung und den Rückbau des bestehenden Radwegs und die Erneuerung sämtlicher Gehwegflächen sind Fuß- und Radverkehr künftig klar voneinander getrennt.,"['Es gibt einen neuen Weg für Fußgänger. Und einen neuen Weg für Fahrräder.', 'Die Wege sind getrennt.']","[0.5929325222969055, 0.2678729295730591]"
1910,"Insgesamt 82 Fahrradbügel, drei Lastenfahrradbügel, neue Parkbänke und eine Stadtradstation unterstreichen den neuen Charakter der Gertigstraße als Fahrradstraße und gewährleisten gleichzeitig weiterhin eine gute Erreichbarkeit.","['Die Bau-Arbeiten haben 8 Monate gedauert.', 'Es gibt neue Fahrrad-Ständer: Für Fahrräder. Und für Lasten-Fahrräder. Und es gibt neue Sitz-Bänke. Und eine Stadt-Rad-Station.']","[0.18156218528747559, 0.6731820106506348]"
1911,"Rückfragen der Medien Behörde für Verkehr und Mobilitätswende E-Mail: pressestelle @bvm. hamburg. de Landesbetrieb Straßen, Brücken und Gewässer Edda Teneyken Telefon: 040 42826 2205 Henning Grabow Telefon: 040 42826 2299 E-Mail: lsbgkommunikation @lsbg. hamburg. de","['Die Behörde für Verkehr und Mobilitäts-Wende hat das gemacht.', 'Die Route führt vom Bezirks-Amt Altona bis zur Burg-Straße.']","[0.49247416853904724, 0.32208576798439026]"
1912,Aufgaben des Bundesratspräsidenten Der Präsident des Bundesrates leitet die Plenarsitzungen des Bundesrates und notifiziert dessen Beschlüsse.,"['Jetzt ist er auch Präsident vom Bundes-Rat. Das heißt: Er ist jetzt der Chef vom Bundes-Rat.', 'Der Bundes-Rat entscheidet mit bei der Politik. Und bei den Gesetzen in Deutschland.', 'Aufgaben vom Präsidenten vom Bundes-Rat Der Präsident vom Bundes-Rat hat viele Aufgaben: Er leitet die Sitzungen vom Bundes-Rat.', 'Er sagt dem Bundes-Tag: Das hat der Bundes-Rat entschieden.']","[0.45923763513565063, 0.5363949537277222, 0.7066343426704407, 0.5270387530326843]"
1913,Bürgermeister Dr. Peter Tschentscher ist neuer Präsident des Bundesrates.,"['Peter Tschentscher ist Bürgermeister von Hamburg.', 'Die Mitglieder vom Bundes-Rat haben Peter Tschentscher heute gewählt: Als neuen Bundes-Rats-Präsidenten.', 'Peter Tschentscher ist der sechste Präsident vom Bundes-Rat: Aus Hamburg.']","[0.7654495239257812, 0.8459381461143494, 0.8094779849052429]"
1914,"Der Präsident des Bundesrates nimmt nach Artikel 57 GG die Befugnisse des Bundespräsidenten wahr, wenn dieser verhindert ist oder sein Amt vorzeitig beendet hat.",['Der Präsident vom Bundes-Rat übernimmt auch die Aufgaben vom Bundes-Präsidenten: Wenn der Bundes-Präsident nicht kann. Zum Beispiel: Der Bundes-Präsident ist um Urlaub. oder wenn der Bundes-Präsident sein Amt vorzeitig beendet hat.'],[0.6524673104286194]
1915,Einstimmig wählte die Länderkammer in ihrer 1026.,['Der Text ist nicht durch Menschen mit Behinderungen geprüft worden.'],[0.10405098646879196]
1916,Er vertritt den Bundesrat gegenüber anderen Verfassungsorganen sowie bei protokollarischen Terminen im In- und Ausland und nimmt in dieser Funktion an internationalen Konferenzen teil.,"['Ein Rat ist eine Gruppe: In der Sachen beraten werden.', 'Er nimmt teil an Konferenzen im Ausland.']","[0.33616259694099426, 0.6424041986465454]"
1917,Im Rahmen der Bundesratspräsidentschaft richtet Hamburg vom 2. bis zum 3. Oktober 2023 unter dem Motto „ Horizonte öffnen “ die zentralen Feierlichkeiten zum Tag der Deutschen Einheit aus.,['Nächstes Jahr gibt es ein großes Fest in Hamburg: Zum Tag der Deutschen Einheit.'],[0.7300773859024048]
1918,"Im Rahmen der parlamentarischen Diplomatie empfängt er ausländische Delegationen in Deutschland, insbesondere die Präsidentinnen und Präsidenten zweiter Parlamentskammern.",['Er empfängt ausländische Gruppen in Deutschland. Zum Beispiel: Die Präsidenten und Präsidentinnen von Parlamenten aus anderen Ländern.'],[0.8699113130569458]
1919,Informationen zur Hamburger Bundesratspräsidentschaft und zum Tag der Deutschen Einheit 2023 unter: www. hamburg. de / bundesratspraesidentschaft Fotos zur Wahl des Bundesratspräsidenten in Berlin können im Anschluss an den Termin online heruntergeladen werden unter: https: // www. skyfish. com / p / fhh / 2154431,"['Info Info: Ein Computer hat diesen Text in Leichte Sprache übertragen.', 'Sie können hier dazu mehr lesen.']","[0.10800545662641525, 0.11071357876062393]"
1920,Sitzung heute Hamburgs Ersten Bürgermeister zu ihrem neuen Vorsitzenden.,['Das veranstaltet Hamburg: Weil Hamburgs Bürgermeister Präsident vom Bundes-Rat ist.'],[0.7379074096679688]
1921,"Ab dem 1. November kommen weitere 400 Plätze am Standort in der Friesenstraße und 300 Plätze am Standort in der Halskestraße hinzu, die jeweils das städtische Unternehmen Fördern & Wohnen betreibt, sowie rund 100 Plätze in Containern bei Kirchen und Hochschulen.","['In der Halskestraße, Es gibt auch Schlaf-Plätze in Containern bei Kirchen. Und bei der Universität.']",[0.5553935766220093]
1922,Abends bieten Freiwillige des Fördervereins Winternotprogramm e. V. vor Ort eine Mahlzeit an.,['Abends gibt es Essen.'],[0.3292839229106903]
1923,An den Standorten ist dauerhaft ein Wachdienst präsent.,"['Die Mitarbeiter sind immer da.', 'Es gibt immer Sicherheits-Personal an den Orten.']","[0.42526769638061523, 0.7345421314239502]"
1924,"Beispielsweise wird in Kooperation mit weiteren Fachstellen eine Suchtberatung angeboten, oder es können Leistungsansprüche geprüft werden.",['Sie helfen bei Problemen. Zum Beispiel: Bei der Suche nach einer Wohnung. Bei Drogen-Problemen. Bei Alkohol-Problemen.'],[0.5414252877235413]
1925,"Damit werden die ganzjährig verfügbaren Notübernachtungsstellen ergänzt: Das Pik As verfügt über bis zu 330 Plätze, die Notübernachtungsstätte für Frauen in der Hinrichsenstraße verfügt über bis zu 60 Plätze.",['Die Not-Übernachtungs-Stelle für Frauen: In der Hinrichsenstraße.'],[0.5576122999191284]
1926,"Das Winternotprogramm( WNP) ist niedrigschwellig: Es kann von allen aufgesucht werden, die sich nicht selbst helfen können und eine sichere Übernachtungsgelegenheit benötigen.","['Die Menschen können in einer sicheren Unterkunft schlafen. Sie bekommen Essen. Und Beratung.', 'Für das ganze Jahr: Das Pik As: Das ist eine Übernachtungs-Stelle für Männer.']","[0.5703113079071045, 0.5414396524429321]"
1927,Die Nutzung des Winternotprogramm ist kostenlos und auf Wunsch anonym.,['Das Winter-Not-Programm ist kostenlos.'],[0.8233625292778015]
1928,"Dort besteht bei entsprechendem Bedarf auch die Möglichkeit, durchgängig auf dem Zimmer zu bleiben, um sich etwa von einer Erkrankung zu erholen.",['Zimmer für kranke Menschen.'],[0.45311272144317627]
1929,Ein großer Teil der obdachlosen Menschen kann sich wegen ausländischer Herkunft nicht in deutscher Sprache verständigen.,"['Viele Menschen ohne Wohnung können kein Deutsch.', 'Das Problem ist: Sie können nicht mit den Mitarbeitern reden.']","[0.784592866897583, 0.1915891468524933]"
1930,Ein kostenfreier Busshuttle verbindet die Innenstadt sowie die Standorte Friesenstraße und Halskestraße.,['Dann gibt es noch mehr Plätze: In der Friesenstraße.'],[0.4516505300998688]
1931,Eine medizinische Grundversorgung wird durch eine regelmäßige ärztliche Präsenz sowie die Zusammenarbeit mit einem Pflegedienst sowie mobilen Angeboten gewährleistet.,['Es gibt eine medizinische Versorgung: Ein Arzt kommt regelmäßig. und ein Pflege-Dienst.'],[0.7634319067001343]
1932,Eine Übersicht ist laufend aktualisiert unter www. hamburg. de / obdachlosigkeit zusammengefasst.,"['Mehr Infos gibt es im Internet: Zu den Hilfen für Menschen ohne Wohnung: die Infos sind in schwerer Sprache: www. hamburg. de / obdachlosigkeit Info Info: Ein Computer hat diesen Text in Leichte Sprache übertragen.', 'Sie können hier dazu mehr lesen.']","[0.6708534955978394, 0.1504732072353363]"
1933,Es handelt sich bei dem Winternotprogramm um ein staatliches Angebot zur Gefahrenabwehr bei kalten Tagen mit frostigen Nächten.,['Es gibt 2 Arten von Hilfe im Winter-Not-Programm: Die Eine Hilfe ist für die Nacht.'],[0.6107471585273743]
1934,"Es richtet sich ausschließlich an obdachlose Menschen in Hamburg, die eine Übernachtung suchen und über keine sonstigen Möglichkeiten zur Selbsthilfe verfügen.",['Es gibt einen Bus für die Menschen: ohne Wohnung.'],[0.43773505091667175]
1935,"Für Frauen werden separate Bereiche angeboten, die von weiblichem Personal betreut werden.","['Beim Winter-Not-Programm gibt es: Bereiche für Frauen.', 'Dort arbeiten nur Frauen als Mitarbeiterinnen.']","[0.5944240093231201, 0.5852172374725342]"
1936,In Zusammenarbeit mit Jobcenter team. arbeit. hamburg können auf diese Weise bei vorliegenden Ansprüchen die entsprechenden Anträge gestellt und beispielsweise auch Kosten für eine künftige Unterkunft übernommen werden.,['Bei der Suche nach einer Arbeit.'],[0.2565625011920929]
