,sents_leicht,sents_standard,label
2661,Deutschland ist eine Bundes -Republik. Deutschland besteht aus 16 Ländern .,Als Schaltstelle der Regierungspolitik betreut und koordiniert die Senatskanzlei die Arbeit des Senats.,1
2662,Hamburg ist eins von den Ländern. Alle Länder haben eine Vertretung in Berlin. Die Vertretung heißt: Bundes-Rat .,Sie unterstützt den Ersten Bürgermeister bei seinen Amtsgeschäften.,1
2663,Ein Rat ist eine Gruppe: In der Sachen beraten werden. Der Bundes-Rat entscheidet die Politik mit in Deutschland. Der Bundes-Rat kümmern sich darum: Die Politik von Deutschland ist gut für die 16 Länder.,"Die Senatskanzlei plant das Regierungsprogramm, setzt die politischen Richtlinien des Bürgermeisters um, übernimmt die Investitionsplanung und koordiniert die Fachbehörden.",1
2664,Gut zu wissen,Sie ist außerdem zuständig für Veranstaltungen im Rathaus sowie Staatsbesuche und pflegt die internationalen Beziehungen. Zu den Aufgaben gehört auch die Information der Öffentlichkeit über die aktuelle politische Arbeit. Und was passiert außerhalb Hamburgs?,1
2665,Die Länder von Deutschland werden oft Bundes-Länder genannt. Das Hanse-Office in Brüssel kümmert sich um alle Sachen mit der Europäischen Union . Zum Beispiel: Es gibt Förderungen von der Europäischen Union für Hamburg.,"In Berlin hat Hamburg eine Landesvertretung, die zur Senatskanzlei gehört. Hamburg ist, wie alle Bundesländer, Mitglied des Bundesrates und kann so gegenüber der Bundespolitik seine Interessen vertreten.",1
2667,Hamburg macht das Hanse-Office nicht alleine. Hamburg macht das Hanse-Office zusammen mit Schleswig-Holstein.,Daneben führt Hamburg gemeinsam mit Schleswig-Holstein das Hanse-Office in Brüssel.,1
2668,Wer hat den Text in Leichter Sprache gemacht?,Als Schnittstelle zwischen Norddeutschland und Brüssel informiert das Hanse-Office über aktuelle Themen der Europapolitik. Hamburgische Interessen werden an die EU geleitet und so Einfluss auf die europäischen Entscheidungen genommen.,1
2669,"Büro für Leichte Sprache Köln E-Mail: info@leichte-sprache.koeln Kirsten Scholz hat den Text in Leichter Sprache geschrieben und die Bilder gemalt. Dirk Stauber, Sandra Mambrini und Wolfgang Klein haben den Text auf Leichte Sprache geprüft.","Für diese Aufgaben ist die Bevollmächtigte beim Bund, bei der EU und für auswärtige Angelegenheiten, Staatsrätin Almut Möller, zuständig .",1
2670,Die Stadt Hamburg hat sich Ziele gesetzt für den Schutz vom Klima.,"Bürgermeister Peter Tschentscher : „Hamburg hat seit 2011 im Klimaschutz viel erreicht. Wir sanieren die Schulen und öffentlichen Gebäude, setzen auf emissionsfreien öffentlichen Nahverkehr, investieren in den Landstrom im Hafen und steigen bei der Fernwärme aus der Kohle aus. Seit 2012 haben sich die CO2-Emissionen in Hamburg jedes Jahr verringert, im Durchschnitt um über 400.000 t CO2 pro Jahr.",1
2671,Diese Ziele stehen im Klima-Plan,"Wir werden mit den jetzt beschlossenen Maßnahmen das 55-Prozent-Klimaschutzziel für 2030 sicher erreichen, dieses vermutlich sogar übertreffen.",1
2672,und im neuen Klima-Schutz-Gesetz.,Hamburg leistet damit als moderne Metropole und großer Industriestandort in Deutschland einen wichtigen Beitrag zur Einhaltung des Pariser Klimaschutzabkommens.“,1
2673,Klima-Schutz ist wichtig:,Umweltsenator Jens Kerstan: „Klimaschutz ist kein Selbstzweck.,1
2674,Damit das Leben in Hamburg lebenswert bleibt.,"Hamburg muss alles tun, um die Menschen vor den Folgen des Klimawandels zu schützen. Mit dem Klimaplan zeigen wir einen Weg auf, wie Hamburg seine Ziele konkret erreichen und seiner Verantwortung gerecht werden kann.",1
2676,Warum sich das Klima verändert. Und was kann man tun gegen die Klima-Veränderung.,Bis spätestens 2050 soll Hamburg klimaneutral werden. Bis dahin ist es ein weiter Weg und die Herausforderungen sind groß. Aber wir gehen jetzt voran und haben im Klimaplan eine Vielzahl konkreter Maßnahmen beschlossen.,1
2679,CO 2 gibt es schon immer in der Luft. Das ist normal.,Wir legen deshalb das anspruchsvollste und weitreichendste Klimaschutzgesetz Deutschlands vor und betreten damit zum Teil auch juristisches Neuland.,1
2681,Besonders viel CO 2 entsteht : Wenn Öl und Benzin und Kohle verbrannt werden.,Deshalb werden wir auf eine gerechte und sozial ausgewogene Verteilung der Lasten achten.,1
2682,Zum Beispiel: Beim Autofahren . Wenn Strom produziert wird aus Kohle.,"Klimaschutz bietet aber auch Chancen: Wenn wir die Herausforderung entschlossen annehmen, können die Verkehrswende, die Wärmewende und die nötige Modernisierung von Gebäuden, Kraftwerken und Industrie zum Jobmotor und Innovationstreiber für Hamburg werden.",1
2683,Die Menschen produzieren heute mehr CO 2 als früher.,"Der Klimaplan und das Klimagesetz lösen noch nicht alle Probleme. Sie sind aber ein großer Schritt voran und ein gutes Fundament, auf dem zukünftig weitere Anstrengungen beim Klimaschutz aufbauen können.“",1
2685,Darum sind zum Beispiel Wälder sehr wichtig für das Klima.,"Bis 2030 reduziert Hamburg die CO2-Emissionen um 55 Prozent gegenüber dem Basisjahr 1990. Bis 2050 strebt die Stadt eine Emissionsminderung von mindestens 95 Prozent an, um Klimaneutralität zu erreichen.",1
2686,Wärme kommt von der Sonne auf die Erde.,"Der CO2-Ausstoß Hamburgs betrug im Jahr 1990 rund 20,7 Mio. Tonnen und soll bis 2030 auf 9,3 Mio. Tonnen reduziert werden.",1
2687,Das viele CO 2 in der Luft sorgt dafür: Die Wärme bleibt auf der Erde.,"Da die CO2-Emissionen bis 2017 bereits um 20,8 Prozent (rund 16,4 Mio. Tonnen) reduziert wurden, verlangt das neue Reduktionsziel demnach eine weitere Minderung um rd. 7 Mio. Tonnen bis 2030.",1
2688,Das CO 2 ist wie eine Decke für die Erde.,"Damit Hamburg seine Reduktionsziele erreichen kann, bedarf es grundlegender Weichenstellungen für den Klimaschutz auch auf Bundesebene.",1
2689,Die Luft wird wärmer: Wegen dem CO 2 . Das schwere Wort dafür ist Treib-Haus-Effekt .,Maßgebliche Bedeutung kommt dabei u.a. dem Ausbaupfad für die erneuerbaren Energien und dem Kohleausstieg zu. Die größte in Hamburger Zuständigkeit liegende Stellschraube ist der Ausbau und die qualitative Verbesserung der Fernwärmeversorgung mit dem Ziel einer auf mittlere Sicht vollständigen Dekarbonisierung.,1
2690,Das Klima verändert sich : Wenn die Erde wärmer wird.,Bedeutende Eckpfeiler dafür sind das Abschalten und der klimafreundliche Ersatz des Kraftwerks Wedel sowie die klimafreundliche Umrüstung des Kraftwerks Tiefstack.,1
2691,Zum Beispiel: Es gibt mehr schwere Stürme. Es gibt zu wenig Regen an manchen Stellen auf der Welt. Es gibt zu viel Regen an manchen Stellen auf der Welt.,"Nach aktuellen Berechnungen bleibt unter Berücksichtigung der Potenziale bei Bundesstrommix und Fernwärme (Einsparungen durch Energiemix) eine Differenz von etwa 4,1 Mio. t CO2, die durch einen Mix weiterer eigenständiger Hamburger Maßnahmen reduziert werden muss.",1
2692,Das Wasser im Meer steigt: Weil das Eis schmilzt an den Polen. Länder können überschwemmt werden. Zum Beispiel Holland. Oder der Norden von Deutschland.,Im Klimaplan werden die Reduktionsverpflichtungen Sektor bezogen festgelegt: Der Klimaplan 2019 baut auf den Vorgänger-Plan von 2015 auf.,1
2693,Es ist darum wichtig : Dass die Menschen weniger CO 2 produzieren .,"Er unterscheidet in vier große Bereiche von CO2-Verursachern, die Sektoren Private Haushalte (PHH), Gewerbe-Handel-Dienstleistungen (GHD), Industrie und Verkehr . Ein fünfter großer Bereich ist die Klimaanpassung .",1
2695,In 10 Jahren soll nur noch die Hälfte an CO 2 produziert werden in der Stadt Hamburg.,"Der PHH-Sektor (inklusive Gebäude) soll den Ausstoß bis 2030 um weitere knapp 2 Mio. Tonnen CO2 senken, der GHD-Sektor um 2,1 Mio. Tonnen, die Industrie um 1,6 Mio. Tonnen und der Verkehr um rd. 1,4 Mio. Tonnen (jeweils ausgehend von 2017).",1
2696,Damit die Stadt Hamburg das Ziel schafft: Müssen viele Sachen gemacht werden.,Die Verantwortung für die Einhaltung tragen die zuständigen Behörden selbst.,1
2697,Die Stadt Hamburg hat es schon viel geschafft: Früher hat die Stadt mehr CO 2 produziert.,"Die Koordinierung für den Klimaplan liegt in der Umweltbehörde. Die Umsetzung und der Erfolg der Maßnahmen werden jährlich überprüft, alle zwei Jahre wird der Bürgerschaft berichtet und spätestens alle vier Jahre wird der Klimaplan angepasst.",1
2699,Hamburg will dabei mithelfen : Damit das Klima geschützt wird. Diese Sachen will die Stadt Hamburg machen: Die Häuser sollen besser werden : Damit man weniger Heizung braucht.,"Hamburg nimmt sich mit dem Klimaplan vor, in den kommenden Jahren die erforderlichen Maßnahmen einzuleiten, damit die Bürgerinnen und Bürger auch in Zukunft in einer lebenswerten, wirtschaftlich erfolgreichen und bezahlbaren Stadt leben können, die als große Metropole ihren Beitrag zur Bewältigung des Klimawandels leistet. Mit dem Plan sind eine Reihe von Maßnahmen verbunden wie etwa Sanierungs- und Dekarbonisierungsfahrpläne, Energiestandards für Gebäude, Ausbaumaßnahmen für ÖPNV und Radverkehr sowie Förderungen von Klimaschutzprojekten und Vor-Ort-Beratungen für Unternehmen.",1
2701,Es soll mehr Busse und Bahnen geben: Damit die Menschen weniger Auto fahren .,"Kumuliert über die Laufzeit des Klimaplans bis 2030 wird nach gegenwärtigem, naturgemäß noch nicht veranschlagungsfähigem Planungsstand von einem Gesamtvolumen von rund 2 Mrd. Euro ausgegangen. Ein wesentlicher Teil der Vorhaben in den verschiedenen Sektoren ist dabei bereits Gegenstand laufender Planungen bei den jeweiligen Behörden oder öffentlichen Unternehmen (z.B. der ÖPNV-Ausbau) und daher nicht zusätzlich gesondert zu veranschlagen. Ein ebenfalls wesentlicher Teil der Vorhaben ist Gegenstand von Finanzierungsplanungen privater Partner bzw. Stakeholder insbesondere aus Wirtschaft und Industrie, sodass diese insoweit keinen oder nur anteiligen Finanzierungs- bzw. Förderbedarf bei der Freien und Hansestadt Hamburg auslösen.",1
2702,Es soll mehr für die Rad-Fahrer getan werden. Zum Beispiel: Es soll mehr Fahr-Rad-Wege geben. Es gibt Geld für Projekte: Die etwas für das Klima tun.,"Darüber hinaus sind zusätzliche Mittel durch den Bund für Länder und Kommunen erforderlich, um die enormen Herausforderungen beim Klimaschutz auch finanziell zu bewältigen. Die verbleibenden finanziellen Mehrbedarfe werden für das Haushaltsjahr 2020 im Rahmen einer Nachbewilligungsdrucksache sowie für die Haushaltsjahre ab 2021 im Rahmen der jeweiligen Haushaltsplanaufstellungen konkretisiert und eingeworben.",1
2703,Das Klima-Schutz-Gesetz Der Schutz vom Klima ist sehr wichtig für den Senat von der Stadt Hamburg.,"Für das Startjahr 2020 ist für entsprechende Reserven bereits haushalterisch vorgesorgt. Klimaschutzgesetz Mit dem Entwurf des Klimaschutzgesetzes beabsichtigt der Hamburger Senat, die Begrenzung der Erderwärmung als Staatsziel in der Hamburgischen Landesverfassung zu verankern.",1
2704,Der Senat hat darum ein Gesetz gemacht für den Klima-Schutz.,Der Entwurf umfasst 31 Paragrafen und geht nach dem heutigen Senatsbeschluss zur weiteren Beratung an die Bürgerschaft. Für die Verfassungsänderung ist eine Zweidrittelmehrheit in der Bürgerschaft notwendig. Die Ziele des Klimaplans werden im Gesetz verankert. Ebenso das Verfahren zur regelmäßigen Überarbeitung und Anpassung.,1
2705,Das Gesetz sagt zum Beispiel: Hamburg soll Fachleute für den Klima-Schutz haben.,"Darüber hinaus wird auch eine Reihe von inhaltlichen Festlegungen getroffen: Es sieht u.a. eine Pflicht zur Installation von Solaranlagen ab 2023 auf Hamburgs Dächern (im Neubau) vor und einen verpflichtenden Anteil Erneuerbarer Energien bei einem Tausch von Heizungsanlagen ab Mitte 2021. Ölheizungen im Neubau sollen ab 2022 nicht mehr zulässig sein, beim Austausch bestehender Anlagen ist für den Energieträger Heizöl ab 2026 Schluss. Für all diese Anforderungen wird es Ausnahmeregelungen geben, um die Entstehung unzumutbarer Härten im Einzelfall zu verhindern.",1
2706,Die Fachleute sollen den Senat beraten .,"Es soll ein wissenschaftlich besetzter Klimabeirat installiert werden, der den Senat berät.",1
2707,Die Häuser von der Stadt Hamburg sollen besonders umwelt-freundlich sein.,Gebäude der öffentlichen Hand sollen in vorbildhafter Weise energieeffizient errichtet und saniert werden.,1
2708,Busse und Bahnen in Hamburg sollen auch umwelt-freundlich sein.,Die Landesverwaltung und ihr Fuhrpark sollen bis 2030 klimaneutral organisiert werden. Außerdem definiert das Gesetz Ziele für eine nachhaltige und emissionsarme Mobilität .,1
2711,Für das Bauen von Häusern stehen diese Sachen im Gesetz:,Service für Redaktionen Link: www.hamburg.de/klimaplan Der Kurzfilm zum Klimaplan: https://youtu.be/VhbwFX7QsF8,1
2713,Wenn ein altes Haus eine neue Heizung bekommt: Die neue Heizung muss umwelt-freundlicher werden.,"Wärmeversorgung: Dekarbonisierung der Fernwärme (Ersatz Wedel, Umbau Tiefstack) Neue Wärmenetze mit Einsatz erneuerbarer Energien und Abwärme für Neubau- und Bestandsgebiete Schaffung von Anreizen für den Einsatz hybrider Wärmeversorgungssysteme",1
2715,Die Regel gilt ab dem Jahr 2021. Neue Häuser dürfen keine Heizungen haben: Die mit Öl arbeiten.,Gebäudeeffizienz: Weiterentwicklung von Förderprogrammen zur energetischen Sanierung von Wohn- und Nichtwohngebäuden Machbarkeitsstudie zum Hamburger Wohnungsbestand zur Ermittlung von Potenzialen und Erstellen eines Fahrplans zur Erreichung der Klimaziele im Gebäudebereich,1
2716,Die Regel gilt ab dem Jahr 2022.,Energetische Sanierung öffentlicher Nichtwohngebäude Neubauten und Erweiterungsbauten öffentlicher Nichtwohngebäude werden ab 2022 mind. im Standard Effizienzhaus 40 errichtet Entwicklung einer Hamburger Holzbau-Strategie Mobilität:,1
2722,Die Regel gilt für alte Häuser ab dem Haus 2026.,"Ausbau und Betrieb öffentlich zugänglicher Ladeinfrastruktur für E-Fahrzeuge auch auf gewerblichen und privaten Flächen vorantreiben Vollständige Umstellung von Carsharing-Flotten auf E- Fahrzeuge nach EmoG Erarbeitung und Umsetzung Gesamtstädtisches Konzept Letzte Meile Ausbau von Landstrom für Containerschiffe, Landstrom für Kreuzfahrtschiffe an den Terminals HafenCity und Steinwerder",1
2737,Hamburg und Schleswig-Holstein haben zusammen einen besonderen Ort für Forschungen gebaut. Die Forschungs-Einrichtung heißt European XFEL . So spricht man das: ju ro pie en iks eff el Das kurze Wort dafür ist XFEL Die Forschungen werden mit einem Laser gemacht.,"Siebenundzwanzigtausend Röntgenlaserblitze pro Sekunde, eine Länge von 3,4 Kilometern und eine Leuchtstärke, die unter den besten Röntgenstrahlenquellen herkömmlicher Art ihresgleichen sucht: Zwischen Hamburg-Bahrenfeld und Schenefeld in Schleswig Holstein wird mit dem European XFEL eine Großforschungsanlage der Superlative in Betrieb genommen, die völlig neue Forschungsmöglichkeiten eröffnet.",1
2738,So spricht man das: läser Das gelbe Drei-Eck am Rand vom Text ist ein Zeichen für Laser. Ein Laser macht ein besonderes Licht . Mit dem Licht kann man Sachen untersuchen.,"Forschergruppen aus aller Welt können an dem europäischen Röntgenlaser atomare Details von Viren und Zellen entschlüsseln, dreidimensionale Aufnahmen im Nanokosmos machen, chemische Reaktionen filmen und Vorgänge wie die im Inneren von Planeten untersuchen. Die Erforschung und Behandlung von Infektionskrankheiten, Fortschritte bei der Energiegewinnung und zukünftiger Energieerzeugung oder die Optimierung chemischer Stoffe sind nur einige der Möglichkeiten, die der European XFEL schafft.",1
2739,Der XFEL-Laser benutzt Röntgen-Strahlen . Röntgen-Strahlen können durch viele Sachen durchsehen. Es gibt dann Bilder vom Inneren von Sachen. Zum Beispiel von Knochen.,"Die European XFEL GmbH ist eine gemeinnützige Forschungsorganisation, die eng mit dem Forschungszentrum DESY und weiteren internationalen Institutionen zusammenarbeitet.",1
2740,Die Forschungs-Einrichtung ist unter der Erde . Die Anlage ist zwischen Hamburg und Schleswig-Holstein . Ein Eingang ist in Hamburg-Bahrenfeld. Ein anderer Eingang ist in Schenefeld in Schleswig-Holstein.,Sie beschäftigt rund 300 Mitarbeiterinnen und Mitarbeiter.,1
2741,Es gibt lange Gänge unter der Erde . Die Gänge sind über 3 Kilometer lang . Das heißt: Sie müssen fast eine Stunde gehen von einem Ende zum anderen. Das Licht vom Laser reicht von einem Ende zum anderen.,"Mit Kosten von rund 1,5 Milliarden Euro für Bau und Inbetriebnahme und einer Länge von 3,4 Kilometern ist der European XFEL eines der größten und ambitioniertesten europäischen Forschungsprojekte und ein Gewinn für die Metropolregion Hamburg.",1
2742,Damit kann man viele Sachen untersuchen. Viele Länder haben das Geld bezahlt für diese Einrichtung. Deutschland und Hamburg und Schleswig-Holstein haben das meiste Geld bezahlt. Russland hat auch viel Geld bezahlt.,"Dänemark, Deutschland, Frankreich, Italien, Polen, Russland, Schweden, die Schweiz, die Slowakei, Spanien und Ungarn beteiligen sich an dem internationalen Großprojekt.",1
2743,Viele andere Länder aus Europa haben auch Geld bezahlt. Der XFEL funktioniert nur: Weil die Länder zusammenarbeiten. Forscher aus der ganzen Welt arbeiten in der Einrichtung. Die Forscher können im XFEL Sachen forschen: Die sie sonst nirgendwo herausfinden können.,"Deutschland (mit dem Bundesministerium für Bildung und Forschung und den Ländern Hamburg und Schleswig-Holstein) trägt 58 Prozent der Kosten für die neue Einrichtung, Russland 27 Prozent.",1
2744,Die Forscher finden viele Sachen heraus. Zum Beispiel: So können Krankheiten behandelt werden. So kann Energie gewonnen werden.,Die anderen Partnerländer sind mit jeweils ein bis drei Prozent beteiligt.,1
2745,Sie können mehr Informationen über den XFEL lesen im Internet: www.xfel.eu/de Wer hat den Text in Leichter Sprache gemacht? Büro für Leichte Sprache Köln E-Mail: info@leichte-sprache.koeln Kirsten Scholz hat den Text in Leichter Sprache geschrieben und die Bilder gemalt.,Mehr Informationen finden Sie unter www.xfel.eu/de .,1
2748,Sport ist auch wichtig für die Gemeinschaft: Man kann beim Sport gut Sachen zusammen machen. Die Stadt Hamburg will noch mehr tun: Damit Menschen Sport machen und sich viel bewegen . Die Stadt Hamburg fördert den Sport .,"Ziel ist, dass der Sport in der Hansestadt weiterentwickelt und gefördert wird. Was verbirgt sich hinter der „Active City“?",1
2749,Das Leben in Hamburg soll durch den Sport besser werden. ​​​​​​​Die Stadt Hamburg hat darum einen Plan gemacht.,"Die Möglichkeiten und Angebote in Hamburg sich zu bewegen und Sport zu treiben, sollen noch besser und vielfältiger werden.",1
2753,Viele Sachen stehen im Masterplan Active City. Zum Beispiel:,Wir sind Active City!“ stehen unter anderem folgende Maßnahmen im Vordergrund:,1
2754,Welche Sachen sollen gebaut werden in Hamburg. Welche Projekte sollen gemacht werden. Die Stadt Hamburg gibt ungefähr 50 Millionen Euro aus: Damit der Sport gefördert wird.,Sport und Bewegung sollen für alle Bürgerinnern und Bürger Hamburgs überall möglich und verfügbar sein.,1
2755,Das soll gefördert werden Menschen sollen Sport machen wollen . Zum Beispiel in einem Sport-Verein.,Jeder Einwohner soll für den individuellen Sport oder eine Mitgliedschaft im Sportverein motiviert und mobilisiert werden.,1
2756,Menschen sollen überall in Hamburg Sport machen können .,Welche konkreten Maßnahmen können die Bürgerinnen und Bürger der Stadt Hamburg erwarten?,1
2757,Der Masterplan Active City will Sachen in 5 Bereichen besonders fördern :,"Die Stadt Hamburg will im Rahmen der „Active City"" 26 Vorhaben und sechs Empfehlungen in die Tat umsetzen. Fünf Handlungsfelder sind dabei besonders wichtig:",1
2759,Sport im öffentlichen Raum,Sport im Öffentlichen Raum,1
2760,Sport für Alle Niemand soll ausgeschlossen sein beim Sport. Nachwuchs-Leistungs-Sport Manche Menschen sind besonders gut beim Sport. Die Menschen machen bei großen Wettkämpfen mit. Zum Beispiel Olympia.,Sport für Alle,1
2763,Es soll neue Sport-Stätten geben in ganz Hamburg. Zum Beispiel in Hamm und Horn.,Generell sollen so viele Sportstätten wie nie zuvor neu gebaut und modernisiert werden.,1
2764,In den Stadt-Teilen sollen neue Strecken zum Laufen entstehen.,In allen sieben Bezirken der Stadt soll der Ausbau von Schulsporthallen bzw. der Bau von „Bewegungsinseln“ vorangetrieben werden.,1
2765,Alle Sport-Stätten in Hamburg sollen modern sein.,"Bestehende Sportanlagen sollen größtenteils erhalten bleiben, aber zeitgemäß umgebaut werden.",1
2766,Zum Beispiel das Tennis-Stadion am Rothenbaum. Das Tennis-Stadion wird neu gebaut.,Ein zentrales Thema ist beispielsweise die Modernisierung des Tennisstadions am Rothenbaum.,1
2767,Vereine können das Stadion dann auch benutzen für Tennis und Hockey.,"Durch den Neubau soll mehr Platz für den Vereinssport, in diesem Fall Tennis und Hockey, geschaffen werden.",1
2768,Die Stadt Hamburg fördert auch den Sport für alte Menschen . Alte Menschen sollen Sport machen können: Der zu ihnen passt. Und der Sport soll in den Senioren-Heimen angeboten werden : Wo die alten Menschen leben.,"Auch das Laufen und Radfahren stehen weiter hoch im Kurs, in Hamm und Horn sollen daher neue Laufstrecken entstehen. Mit dem Projekt „Mach mit, bleib fit“ will die Stadt Hamburg zudem den Sport im Alter fördern.",1
2769,"Wer hat den Text in Leichter Sprache gemacht? Büro für Leichte Sprache Köln E-Mail: info@leichte-sprache.koeln Kirsten Scholz hat den Text in Leichter Sprache geschrieben und die Bilder gemalt. Dirk Stauber, Sandra Mambrini und Wolfgang Klein haben den Text auf Leichte Sprache geprüft.","Die Idee ist, gemeinsam mit Sportvereinen für Menschen in Seniorenheimen zielgruppengerechte Bewegungsangebote zu schaffen.",1
2771,Die Stadt Hamburg bezahlt viele Dinge . Zum Beispiel:,In Hamburg macht die Finanzbehörde die Steuerschätzung.,1
2773,Polizei Verwaltung,Sie bildet die Basis für den Handlungsspielraum der Stadt.,1
2774,Kultur Die Stadt Hamburg braucht dafür Geld . Die Stadt Hamburg bekommt das Geld von der Steuer .,"Je nachdem ob die Steuereinnahmen hoch oder niedrig sein werden, kann die Stadt in den nächsten Jahren mehr oder weniger Geld ausgeben.",1
2776,Es gibt verschiedene Steuern. Die Menschen und die Unternehmen bezahlen die Steuern . Der Staat bekommt die Steuern .,Die Steuerschätzung wird auf der Basis von zwei unterschiedlichen Prognosen berechnet.,1
2777,Manche Steuern bekommt der Staat Deutschland. Die Steuern heißen Bundes-Steuern. Manche Steuern bekommen die Länder. Zum Beispiel Hamburg.,Die erste Grundlage der Hamburger Steuerschätzung bildet die Steuerschätzung des Bundes.,1
2779,Die Steuern heißen Länder-Steuern . Der Staat Deutschland teilt auch manche Steuern mit den Ländern. Manche Steuern bezahlt man beim Einkaufen.,"Die einzelnen Bundesländer nutzen die Steuerschätzung des Bundes, um ihre eigenen Steuerschätzungen zu berechnen.",1
2780,Manche Steuern werden vom Einkommen bezahlt. Einkommen ist zum Beispiel der Lohn. Oder das Gehalt.,Hierbei muss jedes Bundesland seine eigenen finanzpolitischen und wirtschaftspolitischen Besonderheiten berücksichtigen.,1
2781,Darum gibt es die Steuer-Schätzung Die Stadt Hamburg möchte gerne wissen: Wie viel Geld bekommt Hamburg von den Steuern. Die Stadt Hamburg kann dann besser planen. Hamburg bekommt nicht immer gleich viel Steuern .,Auch in Hamburg ist das der Fall.,1
2782,Zum Beispiel: Die Bier-Steuer ist eine Ländersteuer.,Eine Besonderheit ist beispielsweise der Hamburger Hafen.,1
2783,Hamburg bekommt mehr Geld von der Bier-Steuer: Wenn viel Bier verkauft wird. Hamburg bekommt auch Geld vom Hafen. Hamburg bekommt mehr Geld: Wenn im Hafen viel Geld verdient wird.,"Die Wirtschaftskraft des Hafens hat einen sehr großen Einfluss auf die gesamte wirtschaftliche Lage Hamburgs. Wenn das Wirtschaftswachstum im Hafen ansteigt, wirkt sich dies auch positiv auf die restliche Wirtschaft der Hansestadt aus.",1
2784,Zum Beispiel: Wenn viele Schiffe in den Hafen kommen mit Sachen. So wird die Steuer geschätzt Schätzen heißt in Leichter Sprache: Man weiß nicht genau wie viel etwas ist. Man überlegt dann: Wie viel kann etwas sein.,Genauso wirkt sich ein sinkendes Wachstum des Hafens negativ aus.,1
2785,Die Stadt Hamburg kann nicht wissen : Wie viel Steuern sie in der Zukunft bekommt. Die Stadt Hamburg schätzt darum die Steuern. Die Schätzung wird 2 Mal im Jahr gemacht. Die Schätzung wird im Mai und im November gemacht.,Der Hafen funktioniert so in gewisser Weise als ein Frühwarnsystem für die wirtschaftliche Entwicklung und für die Schätzung der Steuereinnahmen.,1
2786,Deutschland schätzt auch die Steuern. Die Schätzung wird auch im Mai und im November gemacht. Das Bundes-Finanz-Ministerium macht die Steuer-Schätzung. Es gibt Fach-Leute dafür im Bundes-Finanz-Ministerium: Der Arbeits-Kreis Steuer-Schätzung.,"Die Behörde für Wirtschaft, Verkehr und Innovation (BWVI) beschäftigt sich ebenfalls mit der Entwicklung des Wirtschaftswachstums.",1
2787,Der Arbeits-Kreis überlegt: Wie wird die Wirtschaft in Deutschland.,Die BWVI schätzt die wirtschaftliche Lage Hamburgs für die kommenden vier Jahre ein.,1
2788,Wie viel Geld wird in Deutschland verdient. Der Arbeits-Kreis rechnet dann aus : So viele Steuern bekommt Deutschland in der nächsten Zeit.,Diese Einschätzung bildet den zweiten Teil der Grundlage für die Steuerschätzung.,1
2789,"Das Bundes-Finanz-Ministerium sagt der Stadt Hamburg die Schätzung für Deutschland. Die Behörde für Wirtschaft, Verkehr und Innovation macht die Steuer-Schätzung für Hamburg. Das kurze Wort ist BWVI. So spricht man das: be em fau ih",Auf der Basis der Ergebnisse des Bundes und der Werte der BWVI berechnet die Finanzbehörde schlussendlich die Prognose über die Steuereinnahmen für die Stadt Hamburg.,1
2790,Das BMVI überlegt: Wie wird die Wirtschaft in Hamburg . Das BMVI rechnet dann aus: So viele Steuern bekommt Hamburg.,Welche Bedeutung hat die Steuerschätzung für Hamburg? Die Steuerschätzung bestimmt die Haushaltsplanung der Stadt.,1
2791,Die Finanz-Behörde rechnet beide Schätzungen zusammen .,Diese umfasst zum Beispiel die öffentlichen Ausgaben für Bildung oder Infrastruktur.,1
2792,Die Stadt Hamburg kann dann planen: Wie viel Geld für alle Sachen ausgegeben werden. Die Planung in Hamburg Die Stadt Hamburg plant mit dem Geld. Man sagt auch: Die Stadt Hamburg macht einen Haushalt .,"Auch für die Hamburger Verwaltung ist es daher wichtig, über die zu erwartenden Einnahmen und die sich daraus ergebenden Spielräume für die Ausgaben der nächsten Jahre informiert zu sein.",1
2793,Wenn es viele Steuern gibt: Die Stadt Hamburg kann viele Sachen bezahlen. Die Stadt Hamburg soll aber auch Geld sparen .,"In Hamburg gibt es seit 2011 ein Vorgehen, das den Einfluss der Steuerschätzung auf die Haushaltsplanung verringert. 2011 hat der Senat ein Finanzkonzept zur Einhaltung der Schuldenbremse der Verfassung beschlossen.",1
2794,Die Stadt Hamburg darf darum nicht alles Geld ausgeben von der Steuer . Die Stadt Hamburg darf immer nur ein bisschen mehr Geld ausgeben: Als im Jahr davor. Die Stadt Hamburg hat sich Geld geliehen .,"Im Wesentlichen besagt dieses, dass die Ausgaben der Stadt jährlich nicht um mehr als ein Prozent im Vergleich zum Vorjahr ansteigen dürfen. Diese Regelung bedeutet, dass die Stadt selbst bei höheren Steuereinnahmen nicht mehr Geld ausgeben darf.",1
2795,Die Stadt Hamburg hat Schulden . Die Stadt Hamburg muss die Schulden zurückzahlen von den Steuern.,"Sie will vielmehr überschüssige Einnahmen in erster Linie zur Tilgung der Schulden oder für Rücklagen verwenden. Um sinkenden Steuereinnahmen zu begegnen, zieht die Finanzbehörde bei der Berechnung der Steuerschätzung von vornherein einen Betrag von den erwarteten Steuereinnahmen ab. Dieser Betrag nennt sich Vorsichtsabschlag.",1
